family,common_engineering_roles,availability,cost,supply_risk,substitution
ABS,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PA6,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PA66,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PA12,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
POM,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PC,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PBT,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PPS,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PEI,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PPA,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
LCP,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
PEEK,Candidate family metadata only,Must be assessed at exact supplier/grade level,Must be assessed using current supplier quotation or controlled price source,"Consider approved-source count, lead time, regional availability and formulation changes",Never substitute by family name alone
