Family,Density g/cm3,Modulus GPa,Tensile MPa,Elongation %,HDT/service °C,Status
ABS,1.03,1.8–2.7,35–55,2–6,60–105,Screening only
PA6,1.14,1.5–3.5,45–85,15–60,45–80,Screening only
PA66,1.14,2.0–3.5,50–90,15–50,45–85,Screening only
PA12,1.02,1.2–2.0,35–60,5–25,40–70,Screening only
POM,1.41,2.5–3.5,55–80,10–40,70–95,Screening only
PC,1.2,2.1–2.6,55–75,5–15,70–95,Screening only
PBT,1.31,2.2–3.0,45–70,2–8,65–90,Screening only
PPS,1.35,3.0–4.0,60–100,1–4,85–100,Screening only
PEI,1.27,3.0–3.5,70–110,2–8,90–110,Screening only
PPA,1.1,2.0–4.0,50–100,2–30,70–110,Screening only
LCP,1.4,5.0–15.0,120–220,1–5,100–130,Screening only
PEEK,1.3,3.3–4.2,85–105,15–40,140–170,Screening only
